date,localName,name,countryCode,fixed,global,counties,launchYear,types
2020-01-01,Neujahr,New Year's Day,AT,False,True,,,['Public']
2020-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,,['Public']
2020-04-12,Ostersonntag,Easter Sunday,AT,False,True,,,['Public']
2020-04-13,Ostermontag,Easter Monday,AT,False,True,,,['Public']
2020-05-01,Staatsfeiertag,National Holiday,AT,False,True,,,['Public']
2020-05-21,Christi Himmelfahrt,Ascension Day,AT,False,True,,,['Public']
2020-05-31,Pfingstsonntag,Pentecost,AT,False,True,,,['Public']
2020-06-01,Pfingstmontag,Whit Monday,AT,False,True,,,['Public']
2020-06-11,Fronleichnam,Corpus Christi,AT,False,True,,,['Public']
2020-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,,['Public']
2020-10-26,Nationalfeiertag,National Holiday,AT,False,True,,,['Public']
2020-11-01,Allerheiligen,All Saints' Day,AT,False,True,,,['Public']
2020-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,,['Public']
2020-12-25,Weihnachten,Christmas Day,AT,False,True,,,['Public']
2020-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,,['Public']
2021-01-01,Neujahr,New Year's Day,AT,False,True,,,['Public']
2021-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,,['Public']
2021-04-04,Ostersonntag,Easter Sunday,AT,False,True,,,['Public']
2021-04-05,Ostermontag,Easter Monday,AT,False,True,,,['Public']
2021-05-01,Staatsfeiertag,National Holiday,AT,False,True,,,['Public']
2021-05-13,Christi Himmelfahrt,Ascension Day,AT,False,True,,,['Public']
2021-05-23,Pfingstsonntag,Pentecost,AT,False,True,,,['Public']
2021-05-24,Pfingstmontag,Whit Monday,AT,False,True,,,['Public']
2021-06-03,Fronleichnam,Corpus Christi,AT,False,True,,,['Public']
2021-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,,['Public']
2021-10-26,Nationalfeiertag,National Holiday,AT,False,True,,,['Public']
2021-11-01,Allerheiligen,All Saints' Day,AT,False,True,,,['Public']
2021-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,,['Public']
2021-12-25,Weihnachten,Christmas Day,AT,False,True,,,['Public']
2021-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,,['Public']
2022-01-01,Neujahr,New Year's Day,AT,False,True,,,['Public']
2022-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,,['Public']
2022-04-17,Ostersonntag,Easter Sunday,AT,False,True,,,['Public']
2022-04-18,Ostermontag,Easter Monday,AT,False,True,,,['Public']
2022-05-01,Staatsfeiertag,National Holiday,AT,False,True,,,['Public']
2022-05-26,Christi Himmelfahrt,Ascension Day,AT,False,True,,,['Public']
2022-06-05,Pfingstsonntag,Pentecost,AT,False,True,,,['Public']
2022-06-06,Pfingstmontag,Whit Monday,AT,False,True,,,['Public']
2022-06-16,Fronleichnam,Corpus Christi,AT,False,True,,,['Public']
2022-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,,['Public']
2022-10-26,Nationalfeiertag,National Holiday,AT,False,True,,,['Public']
2022-11-01,Allerheiligen,All Saints' Day,AT,False,True,,,['Public']
2022-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,,['Public']
2022-12-25,Weihnachten,Christmas Day,AT,False,True,,,['Public']
2022-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,,['Public']
2023-01-01,Neujahr,New Year's Day,AT,False,True,,,['Public']
2023-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,,['Public']
2023-04-09,Ostersonntag,Easter Sunday,AT,False,True,,,['Public']
2023-04-10,Ostermontag,Easter Monday,AT,False,True,,,['Public']
2023-05-01,Staatsfeiertag,National Holiday,AT,False,True,,,['Public']
2023-05-18,Christi Himmelfahrt,Ascension Day,AT,False,True,,,['Public']
2023-05-28,Pfingstsonntag,Pentecost,AT,False,True,,,['Public']
2023-05-29,Pfingstmontag,Whit Monday,AT,False,True,,,['Public']
2023-06-08,Fronleichnam,Corpus Christi,AT,False,True,,,['Public']
2023-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,,['Public']
2023-10-26,Nationalfeiertag,National Holiday,AT,False,True,,,['Public']
2023-11-01,Allerheiligen,All Saints' Day,AT,False,True,,,['Public']
2023-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,,['Public']
2023-12-25,Weihnachten,Christmas Day,AT,False,True,,,['Public']
2023-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,,['Public']
2024-01-01,Neujahr,New Year's Day,AT,False,True,,,['Public']
2024-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,,['Public']
2024-03-31,Ostersonntag,Easter Sunday,AT,False,True,,,['Public']
2024-04-01,Ostermontag,Easter Monday,AT,False,True,,,['Public']
2024-05-01,Staatsfeiertag,National Holiday,AT,False,True,,,['Public']
2024-05-09,Christi Himmelfahrt,Ascension Day,AT,False,True,,,['Public']
2024-05-19,Pfingstsonntag,Pentecost,AT,False,True,,,['Public']
2024-05-20,Pfingstmontag,Whit Monday,AT,False,True,,,['Public']
2024-05-30,Fronleichnam,Corpus Christi,AT,False,True,,,['Public']
2024-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,,['Public']
2024-10-26,Nationalfeiertag,National Holiday,AT,False,True,,,['Public']
2024-11-01,Allerheiligen,All Saints' Day,AT,False,True,,,['Public']
2024-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,,['Public']
2024-12-25,Weihnachten,Christmas Day,AT,False,True,,,['Public']
2024-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,,['Public']
2025-01-01,Neujahr,New Year's Day,AT,False,True,,,['Public']
2025-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,,['Public']
2025-04-20,Ostersonntag,Easter Sunday,AT,False,True,,,['Public']
2025-04-21,Ostermontag,Easter Monday,AT,False,True,,,['Public']
2025-05-01,Staatsfeiertag,National Holiday,AT,False,True,,,['Public']
2025-05-29,Christi Himmelfahrt,Ascension Day,AT,False,True,,,['Public']
2025-06-08,Pfingstsonntag,Pentecost,AT,False,True,,,['Public']
2025-06-09,Pfingstmontag,Whit Monday,AT,False,True,,,['Public']
2025-06-19,Fronleichnam,Corpus Christi,AT,False,True,,,['Public']
2025-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,,['Public']
2025-10-26,Nationalfeiertag,National Holiday,AT,False,True,,,['Public']
2025-11-01,Allerheiligen,All Saints' Day,AT,False,True,,,['Public']
2025-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,,['Public']
2025-12-25,Weihnachten,Christmas Day,AT,False,True,,,['Public']
2025-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,,['Public']
2020-01-01,Neujahr,New Year's Day,DE,False,True,,,['Public']
2020-01-06,Heilige Drei Könige,Epiphany,DE,False,False,"['DE-BW', 'DE-BY', 'DE-ST']",,['Public']
2020-03-08,Internationaler Frauentag,International Women's Day,DE,False,False,['DE-BE'],,['Public']
2020-04-10,Karfreitag,Good Friday,DE,False,True,,,['Public']
